功能层级,功能模块,功能子项,主要使用用户,使用场景,KANO类型,优先级
系统基础层,用户权限管理,用户管理,系统管理员,用户账户管理,基本,P0
系统基础层,用户权限管理,角色管理,系统管理员,权限分配,魅力,P1
系统基础层,用户权限管理,部门/用户组管理,系统管理员,组织架构管理,魅力,P2
系统基础层,安全管理,账户密码安全,系统管理员,安全防护,基本,P0
系统基础层,安全管理,系统安全,系统管理员,系统防护,基本,P0
系统基础层,系统配置,监控配置,现场调试人员,系统初始化,基本,P0
系统基础层,系统配置,在线配置,售后维护人员,参数调整,基本,P0
系统基础层,系统配置,集中批量配置,售后维护人员,批量管理,基本,P1
系统基础层,数据存储,数据存储策略,系统管理员,数据管理,基本,P0
系统基础层,数据存储,数据过时清理,系统管理员,存储优化,基本,P1
系统基础层,系统自监控,系统自监控,系统管理员,系统健康监控,基本,P0
系统基础层,多语言支持,多语言,所有用户,国际化支持,魅力,P2
系统基础层,界面个性化,系统换肤,所有用户,界面定制,魅力,P2
系统基础层,界面个性化,登录页配置,系统管理员,品牌定制,魅力,P2
工程实施层,设备接入,设备接入,安装人员,设备连接,基本,P0
工程实施层,设备接入,实时数据采集,现场调试人员,数据采集测试,基本,P0
工程实施层,网络通信,网络方式,安装人员,网络配置,基本,P0
工程实施层,工程组态,空间设备管理,安装人员,设备布局,基本,P0
工程实施层,工程组态,连接管理,安装人员,线缆连接,基本,P0
工程实施层,工程组态,配置项管理,现场调试人员,参数配置,基本,P0
工程实施层,工程组态,模板管理,生产人员,标准化模板,基本,P0
工程实施层,工程组态,页面组态,生产人员,界面设计,基本,P0
工程实施层,工程组态,设备组态,生产人员,设备配置,基本,P0
工程实施层,工程组态,图元管理,生产人员,图形元素,期望,P1
工程实施层,工程组态,历史曲线图元,生产人员,曲线展示,期望,P1
工程实施层,工程组态,报警图元,生产人员,告警展示,期望,P1
工程实施层,工程组态,电力组态,生产人员,电力系统,期望,P1
工程实施层,工程组态,摄像头图元,生产人员,视频集成,魅力,P2
工程实施层,数据处理,计算和策略运算,现场调试人员,数据计算,基本,P0
工程实施层,接口集成,标准北向接口,现场调试人员,标准接口,基本,P0
工程实施层,接口集成,北向接口定制,现场调试人员,定制接口,魅力,P1
运营监控层,实时监控,实时曲线,客户运维人员,实时数据展示,基本,P0
运营监控层,界面展示,浏览器,客户运维人员,Web访问,基本,P0
运营监控层,界面展示,分层分级页面展示,客户运维人员,分级浏览,基本,P0
运营监控层,界面展示,设备页面标准化展示,客户运维人员,标准化展示,基本,P0
运营监控层,界面展示,设备树,客户运维人员,树形导航,期望,P1
运营监控层,界面展示,页面导航,客户运维人员,页面跳转,基本,P0
运营监控层,界面展示,搜索查询,客户运维人员,快速查找,期望,P1
运营监控层,告警监控,告警过滤,客户运维人员,告警筛选,基本,P0
运营监控层,告警监控,告警生成和恢复,客户运维人员,告警处理,基本,P0
运营监控层,告警监控,告警分级,客户运维人员,告警分类,基本,P0
运营监控层,告警监控,告警查询,客户运维人员,告警查询,基本,P0
运营监控层,告警监控,告警受理,客户运维人员,告警确认,基本,P0
运营监控层,告警监控,告警确认,客户运维人员,告警处理,基本,P0
运营监控层,告警展示,告警统计展示,客户运维人员,统计分析,期望,P1
运营监控层,告警展示,告警事件栏,客户运维人员,事件展示,基本,P0
运营监控层,告警展示,告警360,客户运维人员,全景告警,魅力,P2
运营监控层,设备控制,远程控制,客户运维人员,远程操作,期望,P1
